,Platform,meta_score,meta_UserReview,Year,Genre,Publisher,Developer,vg_critic_score,vg_user_score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,Total_Sales
0,N64,99.0,9.1,1998,Adventure,Nintendo  ,Nintendo EAD  ,9.9,10.0,4.1,1.89,1.45,0.16,7.6,15.2
1,PS,98.0,7.4,2000,Sports,Activision  ,Neversoft Entertainment  ,9.3,,3.05,1.41,0.02,0.2,4.68,9.36
2,PS3,98.0,7.7,2008,Action,Rockstar Games  ,Rockstar North  ,10.0,9.0,4.79,3.73,0.44,1.62,10.57,21.15
3,DC,98.0,8.4,1999,Fighting,Namco  ,Namco  ,9.6,,0.0,0.0,0.34,0.0,0.34,0.68
4,X360,98.0,7.9,2008,Action,Rockstar Games  ,Rockstar North  ,10.0,,6.8,3.11,0.14,1.04,11.09,22.18
5,Wii,97.0,9.1,2007,Platform,Nintendo  ,Nintendo EAD Tokyo  ,9.7,9.6,6.06,3.38,1.2,0.76,11.4,22.799999999999997
6,Wii,97.0,9.1,2010,Platform,Nintendo  ,Nintendo EAD Tokyo  ,9.7,9.8,3.59,2.37,0.98,0.62,7.57,15.129999999999999
7,XOne,97.0,8.0,2018,Action-Adventure,Rockstar Games  ,Rockstar Games  ,,,3.76,1.47,0.0,0.54,5.77,11.54
8,XOne,97.0,7.9,2014,Action,Rockstar Games  ,Rockstar North  ,9.0,9.0,4.7,3.25,0.01,0.76,8.72,17.44
9,PS3,97.0,8.3,2013,Action,Rockstar Games  ,Rockstar North  ,9.4,,6.37,9.85,0.99,3.12,20.32,40.65
10,X360,97.0,8.3,2013,Action,Rockstar Games  ,Rockstar North  ,,,9.06,5.33,0.06,1.42,15.86,31.73
11,DC,97.0,6.2,2000,Sports,Activision  ,Treyarch  ,9.7,,0.0,0.0,0.0,0.0,0.0,0.0
12,NS,97.0,8.7,2017,Action-Adventure,Nintendo  ,Nintendo EPD  ,9.9,10.0,4.54,2.94,1.26,0.73,9.46,18.93
13,PS2,97.0,7.5,2001,Sports,Activision  ,Neversoft Entertainment  ,9.1,,2.66,1.29,0.01,0.46,4.41,8.83
14,N64,97.0,8.8,2000,Shooter,Rare  ,Rare Ltd.  ,9.7,,1.55,0.75,0.16,0.06,2.52,5.04
15,PS4,97.0,8.5,2018,Action-Adventure,Rockstar Games  ,Rockstar Games  ,9.8,,5.26,6.21,0.21,2.26,13.94,27.88
16,PS4,97.0,8.4,2014,Action,Rockstar Games  ,Rockstar North  ,9.7,,6.06,9.71,0.6,3.02,19.39,38.78
17,PS2,97.0,8.4,2001,Action,Rockstar Games  ,DMA Design  ,9.5,,6.99,4.51,0.3,1.3,13.1,26.200000000000003
18,NS,97.0,8.9,2017,Platform,Nintendo  ,Nintendo EPD  ,9.9,,5.1,3.75,2.02,0.84,11.71,23.42
19,XB,97.0,8.7,2001,Shooter,Microsoft  ,Bungie Studios  ,9.5,,4.98,1.3,0.08,0.07,6.43,12.86
20,DC,97.0,6.2,2000,Sports,Sega  ,Visual Concepts  ,9.6,,1.02,0.05,0.0,0.02,1.09,2.18
21,PC,96.0,9.2,2004,Shooter,VU Games  ,Valve Software  ,9.7,,2.28,0.02,0.08,0.0,2.37,4.75
22,PC,96.0,7.8,2015,Action,Rockstar Games  ,Rockstar North  ,,,0.48,0.76,0.0,0.1,1.33,2.67
23,WiiU,96.0,8.3,2017,Action-Adventure,Nintendo  ,Nintendo EPD  ,10.0,10.0,0.66,0.42,0.15,0.11,1.34,2.68
24,X360,96.0,9.0,2007,Shooter,2K Games  ,2K Australia / 2K Boston  ,9.6,9.5,1.65,0.85,0.05,0.28,2.83,5.66
